Product Name,Colors,Pic urls,Prod care
Zip-neck polo shirt in cotton and silk,White,"https://images.hugoboss.com/is/image/boss/hbeu50508039_118_350?wid=768&qlt=80,https://images.hugoboss.com/is/image/boss/hbeu50508039_118_340?wid=768&qlt=80,https://images.hugoboss.com/is/image/boss/hbeu50508039_118_300?wid=768&qlt=80,https://images.hugoboss.com/is/image/boss/hbeu50508039_118_360?wid=768&qlt=80,https://images.hugoboss.com/is/image/boss/hbeu50508039_118_100?wid=768&qlt=80","Cold, gentle machine wash; reduced spin speed. , Do Not Bleach , Do Not Tumble Dry , Iron Low Heat , Gentle chemical dry cleaning P"
Five-pack of cotton-blend ankle socks with branding,"Black ,White","https://images.hugoboss.com/is/image/boss/hbeu50493197_001_200?wid=768&qlt=80,https://images.hugoboss.com/is/image/boss/hbeu50493197_001_240?wid=768&qlt=80,https://images.hugoboss.com/is/image/boss/hbeu50493197_001_250?wid=768&qlt=80","40°C coloured wash , Do Not Bleach , Tumble Dry Low Heat , Do Not Iron , Do not chemical dry clean"
Cotton-twill cap with tonal logo patch,"Black ,light pink ,Red ,Dark Blue ,Light Beige ,Light Brown","https://images.hugoboss.com/is/image/boss/hbeu50507880_001_230?wid=768&qlt=80,https://images.hugoboss.com/is/image/boss/hbeu50507880_001_200?wid=768&qlt=80,https://images.hugoboss.com/is/image/boss/hbeu50507880_001_245?wid=768&qlt=80","Hand Wash Only , Do Not Bleach , Do Not Tumble Dry , Do Not Iron , Do not chemical dry clean"
Regular-fit shirt in structured cotton-blend jersey,"Light Blue ,Dark Blue ,White","https://images.hugoboss.com/is/image/boss/hbeu50469378_450_350?wid=768&qlt=80,https://images.hugoboss.com/is/image/boss/hbeu50469378_450_340?wid=768&qlt=80,https://images.hugoboss.com/is/image/boss/hbeu50469378_450_300?wid=768&qlt=80,https://images.hugoboss.com/is/image/boss/hbeu50469378_450_360?wid=768&qlt=80,https://images.hugoboss.com/is/image/boss/hbeu50469378_450_341?wid=768&qlt=80,https://images.hugoboss.com/is/image/boss/hbeu50469378_450_100?wid=768&qlt=80","30°C mild fine wash , Do Not Bleach , Do Not Tumble Dry , Iron Low Heat , Chemical dry cleaning P"
Three-pack of stretch-cotton trunks with logo waistbands,"Black ,White / Grey / Black ,Black ,Black / Red ,Black / Grey / Blue ,Dark Blue ,White ,Grey","https://images.hugoboss.com/is/image/boss/hbeu50475274_001_100?wid=768&qlt=80,https://images.hugoboss.com/is/image/boss/hbeu50475274_001_350?wid=768&qlt=80,https://images.hugoboss.com/is/image/boss/hbeu50475274_001_360?wid=768&qlt=80,https://images.hugoboss.com/is/image/boss/hbeu50475274_001_340?wid=768&qlt=80,https://images.hugoboss.com/is/image/boss/hbeu50475274_001_341?wid=768&qlt=80","40°C coloured wash , Do Not Bleach , Tumble Dry Low Heat , Iron Medium Heat , Do not chemical dry clean"
Slim-fit polo shirt in two-tone mercerised cotton,"light pink ,Light Blue ,Dark Blue ,Light Beige","https://images.hugoboss.com/is/image/boss/hbeu50513580_699_350?wid=768&qlt=80,https://images.hugoboss.com/is/image/boss/hbeu50513580_699_340?wid=768&qlt=80,https://images.hugoboss.com/is/image/boss/hbeu50513580_699_300?wid=768&qlt=80,https://images.hugoboss.com/is/image/boss/hbeu50513580_699_360?wid=768&qlt=80,https://images.hugoboss.com/is/image/boss/hbeu50513580_699_100?wid=768&qlt=80","30°C mild fine wash , Do Not Bleach , Do Not Tumble Dry , Iron Low Heat , Gentle chemical dry cleaning P"
Interlock-cotton polo shirt with stacked logo,,"https://images.hugoboss.com/is/image/boss/hbeu50515269_001_350?wid=768&qlt=80,https://images.hugoboss.com/is/image/boss/hbeu50515269_001_340?wid=768&qlt=80,https://images.hugoboss.com/is/image/boss/hbeu50515269_001_300?wid=768&qlt=80,https://images.hugoboss.com/is/image/boss/hbeu50515269_001_360?wid=768&qlt=80,https://images.hugoboss.com/is/image/boss/hbeu50515269_001_100?wid=768&qlt=80","30°C mild fine wash , Do Not Bleach , Do Not Tumble Dry , Iron Low Heat , Gentle chemical dry cleaning P"
Cotton-piqué polo shirt with contrast stripes and logo,,"https://images.hugoboss.com/is/image/boss/hbeu50512995_016_350?wid=768&qlt=80,https://images.hugoboss.com/is/image/boss/hbeu50512995_016_340?wid=768&qlt=80,https://images.hugoboss.com/is/image/boss/hbeu50512995_016_300?wid=768&qlt=80,https://images.hugoboss.com/is/image/boss/hbeu50512995_016_360?wid=768&qlt=80,https://images.hugoboss.com/is/image/boss/hbeu50512995_016_100?wid=768&qlt=80","30°C mild fine wash , Do Not Bleach , Do Not Tumble Dry , Iron Low Heat , Do not chemical dry clean"
Slim-fit jacket in stretch virgin wool,"Blue ,Dark Blue ,Dark Grey ,Black","https://images.hugoboss.com/is/image/boss/hbeu50479994_419_350?wid=768&qlt=80,https://images.hugoboss.com/is/image/boss/hbeu50479994_419_300?wid=768&qlt=80,https://images.hugoboss.com/is/image/boss/hbeu50479994_419_360?wid=768&qlt=80,https://images.hugoboss.com/is/image/boss/hbeu50479994_419_340?wid=768&qlt=80,https://images.hugoboss.com/is/image/boss/hbeu50479994_419_341?wid=768&qlt=80,https://images.hugoboss.com/is/image/boss/hbeu50479994_419_100?wid=768&qlt=80","Do Not Wash , Do Not Bleach , Do Not Tumble Dry , Iron Low Heat , Gentle chemical dry cleaning P"
Regular-fit jacket in stretch virgin wool,"Dark Grey ,Blue ,Blue ,Black","https://images.hugoboss.com/is/image/boss/hbeu50479996_021_350?wid=768&qlt=80,https://images.hugoboss.com/is/image/boss/hbeu50479996_021_300?wid=768&qlt=80,https://images.hugoboss.com/is/image/boss/hbeu50479996_021_360?wid=768&qlt=80,https://images.hugoboss.com/is/image/boss/hbeu50479996_021_340?wid=768&qlt=80,https://images.hugoboss.com/is/image/boss/hbeu50479996_021_341?wid=768&qlt=80,https://images.hugoboss.com/is/image/boss/hbeu50479996_021_100?wid=768&qlt=80","Do Not Wash , Do Not Bleach , Do Not Tumble Dry , Iron Low Heat , Gentle chemical dry cleaning P"
Organic-cotton vest with tonal logo,"White ,Black","https://images.hugoboss.com/is/image/boss/hbeu50475412_100_100?wid=768&qlt=80,https://images.hugoboss.com/is/image/boss/hbeu50475412_100_350?wid=768&qlt=80,https://images.hugoboss.com/is/image/boss/hbeu50475412_100_360?wid=768&qlt=80,https://images.hugoboss.com/is/image/boss/hbeu50475412_100_340?wid=768&qlt=80,https://images.hugoboss.com/is/image/boss/hbeu50475412_100_341?wid=768&qlt=80","40°C coloured wash , Do Not Bleach , Tumble Dry Low Heat , Iron Medium Heat , Do not chemical dry clean"
Regular-fit shirt in organic-cotton poplin,"Light Blue ,Blue ,Dark Brown ,White","https://images.hugoboss.com/is/image/boss/hbeu50489319_460_350?wid=768&qlt=80,https://images.hugoboss.com/is/image/boss/hbeu50489319_460_340?wid=768&qlt=80,https://images.hugoboss.com/is/image/boss/hbeu50489319_460_300?wid=768&qlt=80,https://images.hugoboss.com/is/image/boss/hbeu50489319_460_360?wid=768&qlt=80,https://images.hugoboss.com/is/image/boss/hbeu50489319_460_341?wid=768&qlt=80,https://images.hugoboss.com/is/image/boss/hbeu50489319_460_100?wid=768&qlt=80","30°C fine wash , Do Not Bleach , Do Not Tumble Dry , Iron Low Heat , Do not chemical dry clean"
Cotton polo shirt with embroidered logo,"Natural ,Orange ,Yellow ,Light Yellow ,light pink ,Dark pink ,Dark pink ,Dark Red ,Light Purple ,Turquoise ,Blue ,Blue ,Green ,Green ,Beige ,Beige ,Dark Red","https://images.hugoboss.com/is/image/boss/hbeu50468301_131_350?wid=768&qlt=80,https://images.hugoboss.com/is/image/boss/hbeu50468301_131_340?wid=768&qlt=80,https://images.hugoboss.com/is/image/boss/hbeu50468301_131_300?wid=768&qlt=80,https://images.hugoboss.com/is/image/boss/hbeu50468301_131_360?wid=768&qlt=80,https://images.hugoboss.com/is/image/boss/hbeu50468301_131_100?wid=768&qlt=80","30°C mild fine wash , Do Not Bleach , Do Not Tumble Dry , Iron Low Heat , Gentle chemical dry cleaning P"
Porsche x BOSS Italian-leather belt with branded keeper,"White ,Dark Blue","https://images.hugoboss.com/is/image/boss/hbeu50512798_100_200?wid=768&qlt=80,https://images.hugoboss.com/is/image/boss/hbeu50512798_100_340?wid=768&qlt=80,https://images.hugoboss.com/is/image/boss/hbeu50512798_100_300?wid=768&qlt=80,https://images.hugoboss.com/is/image/boss/hbeu50512798_100_240?wid=768&qlt=80,https://images.hugoboss.com/is/image/boss/hbeu50512798_100_241?wid=768&qlt=80",
Nappa-leather belt with pin buckle,"Dark Brown ,Brown ,Black","https://images.hugoboss.com/is/image/boss/hbeu50470787_203_200?wid=768&qlt=80,https://images.hugoboss.com/is/image/boss/hbeu50470787_203_340?wid=768&qlt=80,https://images.hugoboss.com/is/image/boss/hbeu50470787_203_300?wid=768&qlt=80,https://images.hugoboss.com/is/image/boss/hbeu50470787_203_240?wid=768&qlt=80,https://images.hugoboss.com/is/image/boss/hbeu50470787_203_241?wid=768&qlt=80",
Reversible Italian-leather belt with plaque and pin buckles,Black,"https://images.hugoboss.com/is/image/boss/hbeu50496764_002_200?wid=768&qlt=80,https://images.hugoboss.com/is/image/boss/hbeu50496764_002_340?wid=768&qlt=80,https://images.hugoboss.com/is/image/boss/hbeu50496764_002_300?wid=768&qlt=80,https://images.hugoboss.com/is/image/boss/hbeu50496764_002_240?wid=768&qlt=80,https://images.hugoboss.com/is/image/boss/hbeu50496764_002_241?wid=768&qlt=80",
